id_student,code_module,code_presentation,total_assessments_submitted,overall_avg_score,overall_avg_days_late,total_failed_assessments,weighted_avg_score
6516,AAA,2014J,5,61.8,-2.6,0,63.5
8462,DDD,2013J,3,87.66666666666667,-0.3333333333333333,0,87.25
11391,AAA,2013J,5,82.0,-1.8,0,82.4
23629,BBB,2013B,4,82.5,3.5,0,66.76
23698,CCC,2014J,9,74.44444444444444,1.125,0,74.985
23798,BBB,2013J,11,93.9090909090909,0.2727272727272727,0,89.24
24186,GGG,2014B,8,62.5,-41.25,0,
24213,DDD,2014B,7,76.28571428571429,1.8571428571428572,0,68.2
24391,GGG,2013J,9,88.88888888888889,-39.666666666666664,0,
24734,AAA,2014J,5,46.8,7.4,1,47.5
25107,BBB,2013B,11,77.36363636363636,1.8181818181818181,0,60.51
25150,EEE,2014B,4,84.25,-1.0,0,82.72
25261,CCC,2014J,1,78.0,3.0,0,78.0
25572,DDD,2014J,2,55.0,0.0,1,46.666666666666664
25997,BBB,2014B,2,86.5,3.0,0,74.42105263157895
26023,GGG,2013J,9,88.0,-43.333333333333336,0,
26192,AAA,2014J,5,86.2,-1.2,0,86.3
26211,FFF,2014B,12,89.25,-60.833333333333336,0,79.5
26247,FFF,2013J,1,88.0,-1.0,0,88.0
26315,BBB,2014J,5,51.4,-6.2,1,63.8
26734,BBB,2014J,3,74.33333333333333,15.333333333333334,0,61.666666666666664
27116,CCC,2014J,9,93.33333333333333,1.0,0,94.01
27189,FFF,2014B,12,52.0,-21.916666666666668,2,38.0
27417,DDD,2013J,4,41.0,11.75,1,37.25
27417,DDD,2014J,4,60.25,-4.25,0,56.1
27683,FFF,2014B,12,82.08333333333333,-5.25,0,71.0
27759,BBB,2013J,11,76.0909090909091,0.9090909090909091,0,61.13
27780,EEE,2014B,3,60.0,-2.0,0,59.166666666666664
27891,BBB,2013B,6,69.16666666666667,3.3333333333333335,0,63.20454545454545
27935,DDD,2013J,4,75.25,0.25,0,74.95833333333333
28046,DDD,2013J,7,49.42857142857143,-2.7142857142857144,1,44.95
28061,AAA,2014J,5,77.6,1.0,0,77.4
28400,AAA,2013J,5,66.4,0.0,0,65.4
28418,CCC,2014B,2,31.5,2.0,2,32.333333333333336
28787,CCC,2014J,5,53.6,3.25,1,44.784
28808,FFF,2014B,2,70.0,0.0,0,70.0
28897,FFF,2014B,12,71.33333333333333,-20.0,0,88.5
28952,CCC,2014J,2,59.5,1.5,0,54.72727272727273
29144,BBB,2013B,9,73.22222222222223,3.888888888888889,0,65.45679012345678
29335,FFF,2013J,12,92.08333333333333,-77.66666666666667,0,95.0
29411,CCC,2014J,2,7.0,11.0,2,11.454545454545455
29411,DDD,2013J,7,74.14285714285714,-2.857142857142857,0,68.825
29420,CCC,2014J,8,75.25,2.5714285714285716,0,66.13089005235602
29639,CCC,2014J,9,83.77777777777777,1.5,0,81.285
29639,EEE,2014B,4,83.75,-2.25,0,83.48
29764,CCC,2014B,9,89.33333333333333,1.625,0,91.825
29769,FFF,2013J,6,77.5,-52.666666666666664,0,66.33333333333333
29820,CCC,2014B,9,80.22222222222223,1.0,0,80.29
29820,EEE,2014B,4,81.5,-2.0,0,79.4
29985,GGG,2014B,9,71.88888888888889,-43.77777777777778,1,
30091,BBB,2013J,10,88.0,2.0,0,76.82926829268293
30096,CCC,2014J,9,93.55555555555556,-3.375,0,93.02
30531,FFF,2014B,4,87.25,-101.5,0,87.0
30549,DDD,2013J,1,35.0,0.0,1,35.0
30850,CCC,2014J,9,99.33333333333333,-1.75,0,99.62
31014,BBB,2013J,5,90.0,-2.6,0,83.6046511627907
31107,GGG,2014B,9,89.22222222222223,-50.333333333333336,0,
31161,CCC,2014J,9,96.88888888888889,-6.5,0,98.54
31173,DDD,2013J,7,50.142857142857146,-3.0,2,38.5625
31205,GGG,2014J,4,90.5,-59.75,0,
31269,DDD,2014B,2,56.0,0.0,0,57.22222222222222
31296,FFF,2014J,12,66.08333333333333,2.25,1,52.25
31600,AAA,2014J,5,54.8,2.4,0,55.5
31604,AAA,2013J,5,76.0,-2.0,0,76.3
31663,BBB,2013B,11,79.27272727272727,2.0,1,63.92
31849,BBB,2013J,11,78.0,2.0,0,69.11
32221,FFF,2013J,5,89.6,-28.0,0,89.33333333333333
32239,GGG,2013J,8,80.625,-48.75,0,
32327,BBB,2014J,2,31.0,-1.0,1,61.0
32885,AAA,2013J,5,54.4,11.4,2,55.0
32930,BBB,2014J,5,45.0,2.6,1,55.3
33387,DDD,2013J,3,59.0,0.0,0,58.375
33600,FFF,2013J,1,84.0,-2.0,0,84.0
33666,BBB,2013B,4,78.66666666666667,8.25,0,42.714285714285715
33681,DDD,2013J,3,76.66666666666667,4.0,0,73.875
