code_module,code_presentation,week_number,final_result,active_students,total_clicks,avg_clicks_per_student
AAA,2013J,0,Distinction,20,7318,5.44089219330855
AAA,2013J,0,Fail,39,2220,3.425925925925926
AAA,2013J,0,Pass,250,37206,4.415094339622642
AAA,2013J,0,Withdrawn,50,7490,4.589460784313726
AAA,2013J,1,Distinction,19,4149,4.630580357142857
AAA,2013J,1,Fail,34,1634,3.4545454545454546
AAA,2013J,1,Pass,241,23552,3.977034785545424
AAA,2013J,1,Withdrawn,47,4604,3.662688941925219
AAA,2013J,2,Distinction,18,3506,4.512226512226512
AAA,2013J,2,Fail,35,2165,3.700854700854701
AAA,2013J,2,Pass,247,26826,4.2165985539138635
AAA,2013J,2,Withdrawn,46,5649,4.178254437869822
AAA,2013J,3,Distinction,20,3873,4.5997624703087885
AAA,2013J,3,Fail,42,3669,4.47985347985348
AAA,2013J,3,Pass,251,28087,4.215368452648957
AAA,2013J,3,Withdrawn,46,6736,4.733661278988054
AAA,2013J,4,Distinction,19,2529,4.598181818181819
AAA,2013J,4,Fail,27,1250,4.340277777777778
AAA,2013J,4,Pass,223,15304,3.860746720484359
AAA,2013J,4,Withdrawn,41,3227,4.169250645994832
AAA,2013J,5,Distinction,19,2479,4.173400673400673
AAA,2013J,5,Fail,30,1016,3.3311475409836064
AAA,2013J,5,Pass,233,14058,3.6781789638932496
AAA,2013J,5,Withdrawn,40,2755,4.3046875
AAA,2013J,6,Distinction,20,2645,4.158805031446541
AAA,2013J,6,Fail,30,836,3.073529411764706
AAA,2013J,6,Pass,226,13863,3.543711656441718
AAA,2013J,6,Withdrawn,36,2995,4.108367626886145
AAA,2013J,7,Distinction,19,2287,3.8828522920203734
AAA,2013J,7,Fail,32,1211,3.308743169398907
AAA,2013J,7,Pass,232,13812,3.365497076023392
AAA,2013J,7,Withdrawn,35,2234,3.6090468497576738
AAA,2013J,8,Distinction,20,1784,3.5467196819085487
AAA,2013J,8,Fail,37,1492,2.8045112781954886
AAA,2013J,8,Pass,243,14782,3.315093070195111
AAA,2013J,8,Withdrawn,37,2926,3.8098958333333335
AAA,2013J,9,Distinction,18,1654,3.26232741617357
AAA,2013J,9,Fail,24,513,2.7142857142857144
AAA,2013J,9,Pass,206,9110,3.0996937733923104
AAA,2013J,9,Withdrawn,33,2142,3.7578947368421054
AAA,2013J,10,Distinction,18,1753,3.4575936883629192
AAA,2013J,10,Fail,23,581,3.772727272727273
AAA,2013J,10,Pass,199,8041,3.280701754385965
AAA,2013J,10,Withdrawn,27,1525,3.4580498866213154
AAA,2013J,11,Distinction,16,2072,3.726618705035971
AAA,2013J,11,Fail,17,364,3.0588235294117645
AAA,2013J,11,Pass,183,7907,3.3320691108301728
AAA,2013J,11,Withdrawn,18,1278,3.884498480243161
AAA,2013J,12,Distinction,16,1106,3.3515151515151516
AAA,2013J,12,Fail,12,266,3.8
AAA,2013J,12,Pass,145,5335,3.370183196462413
AAA,2013J,12,Withdrawn,12,502,3.0424242424242425
AAA,2013J,13,Distinction,17,1483,3.489411764705882
AAA,2013J,13,Fail,14,300,2.8846153846153846
AAA,2013J,13,Pass,175,6823,3.233649289099526
AAA,2013J,13,Withdrawn,24,544,2.8186528497409324
AAA,2013J,14,Distinction,19,2036,3.8633776091081593
AAA,2013J,14,Fail,21,514,3.2327044025157234
AAA,2013J,14,Pass,206,9814,3.3923263048738335
AAA,2013J,14,Withdrawn,23,1122,3.702970297029703
AAA,2013J,15,Distinction,19,1559,3.5033707865168537
AAA,2013J,15,Fail,23,520,3.2911392405063293
AAA,2013J,15,Pass,221,9985,3.2324376820977663
AAA,2013J,15,Withdrawn,26,1255,3.873456790123457
AAA,2013J,16,Distinction,18,2196,3.458267716535433
AAA,2013J,16,Fail,30,810,2.6384364820846904
AAA,2013J,16,Pass,224,9926,3.028065893837706
AAA,2013J,16,Withdrawn,24,1280,3.7209302325581395
AAA,2013J,17,Distinction,20,1997,3.402044293015332
AAA,2013J,17,Fail,31,942,2.8373493975903616
AAA,2013J,17,Pass,239,12994,3.1258118835698823
AAA,2013J,17,Withdrawn,25,1593,3.501098901098901
AAA,2013J,18,Distinction,19,2542,4.257956448911223
AAA,2013J,18,Fail,24,754,4.212290502793296
AAA,2013J,18,Pass,218,10875,3.5597381342062193
AAA,2013J,18,Withdrawn,22,987,4.2
AAA,2013J,19,Distinction,19,2369,3.6558641975308643
